No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
306,BOMET EAST,2420,53,2.2,60,2.5,9,0.4,161,6.7,2120,87.6,17,0.7
307,CHEPALUNGU ,1131,40,3.5,12,1.1,1,0.1,38,3.4,1022,90.4,18,1.6
308,KONOIN ,13736,105,0.8,69,0.5,67,0.5,6696,48.7,6723,48.9,76,0.6
309,SOTIK ,6153,215,3.5,43,0.7,45,0.7,877,14.3,4913,79.8,60,1
310,BOMET CENTRAL,8,152,1.9,253,3.1,56,0.7,157,1.9,7440,90.8,132,1.6
311,KAKAMEGA ,62765,2495,4,1025,1.6,484,0.8,2570,4.1,55353,88.2,838,1.3
312,BUTERE ,2422,140,5.8,77,3.2,4,0.2,48,2,2118,87.4,35,1.4
313,KAKAMEGA CENTRAL,23,1094,4.6,346,1.5,100,0.4,486,2,21607,90.8,157,0.7
314,KAKAMEGA EAST,3602,351,9.7,88,2.4,96,2.7,121,3.4,2885,80.1,61,1.7
315,KAKAMEGA NORTH,506,72,1.4,55,1.1,13,0.3,196,3.9,4677,92.4,50,1
316,KAKAMEGA SOUTH,135,84,6.2,8,0.6,43,3.2,44,3.3,1120,82.8,54,4
317,KHWISERO ,1510,80,5.3,54,3.6,25,1.7,22,1.5,1283,85,46,3
318,LIKUYANI ,6842,212,3.1,106,1.5,63,0.9,167,2.4,6151,89.9,143,2.1
319,LUGARI ,3959,142,3.6,29,0.7,11,0.3,71,1.8,3641,92,65,1.6
320,MATETE ,1220,23,1.9,3,0.2,- ,-,34,2.8,1140,93.4,20,1.6
321,MATUNGU ,2569,61,2.4,34,1.3,22,0.9,138,5.4,2295,89.3,19,0.7
322,MUMIAS EAST,2223,40,1.8,18,0.8,1,0,83,3.7,2048,92.1,33,1.5
323,MUMIAS WEST,6957,123,1.8,188,2.7,55,0.8,1122,16.1,5345,76.8,124,1.8
324,NAVAKHOLO ,1255,73,5.8,19,1.5,51,4.1,38,3,1043,83.1,31,2.5
325,VIHIGA ,16993,558,3.3,152,0.9,152,0.9,410,2.4,15462,91,259,1.5
326,EMUHAYA ,1325,90,6.8,7,0.5,33,2.5,17,1.3,1161,87.6,17,1.3
327,VIHIGA ,3622,203,5.6,41,1.1,39,1.1,63,1.7,3235,89.3,41,1.1
328,SABATIA ,4434,126,2.8,36,0.8,2,0,121,2.7,4088,92.2,61,1.4
329,LUANDA ,3123,57,1.8,38,1.2,10,0.3,61,2,2923,93.6,34,1.1
330,HAMISI ,4485,78,1.7,30,0.7,68,1.5,148,3.3,4055,90.4,106,2.4
331,KAKAMEGA FOREST,4,4,100,- ,-,- ,-,-,-,- ,-,- ,-
332,BUNGOMA ,64317,1727,2.7,548,0.9,627,1,1330,2.1,59581,92.6,504,0.8
333,BUMULA ,2770,75,2.7,37,1.3,16,0.6,51,1.8,2551,92.1,40,1.4
334,BUNGOMA CENTRAL,5,123,2.3,22,0.4,7,0.1,35,0.7,5149,95.8,38,0.7
335,BUNGOMA EAST,4536,223,4.9,20,0.4,52,1.1,355,7.8,3847,84.8,39,0.9
336,BUNGOMA NORTH,290,55,1.9,13,0.4,3,0.1,54,1.9,2736,94.2,44,1.5
337,BUNGOMA SOUTH,253,546,2.2,178,0.7,272,1.1,389,1.5,23851,94.2,94,0.4
338,CHEPTAIS ,3052,64,2.1,51,1.7,72,2.4,40,1.3,2783,91.2,42,1.4
339,KIMILILI ,7044,135,1.9,83,1.2,11,0.2,109,1.5,6659,94.5,47,0.7
340,MT ELGON,214,140,6.5,3,0.1,48,2.2,159,7.4,1766,82.4,28,1.3
341,BUNGOMA WEST,2329,116,5,9,0.4,112,4.8,30,1.3,2025,86.9,37,1.6
342,TONGAREN ,2606,52,2,7,0.3,18,0.7,36,1.4,2451,94.1,42,1.6
343,WEBUYE ,6221,197,3.2,125,2,16,0.3,72,1.2,5758,92.6,53,0.9
344,MT. ELGON FOREST,,1,16.7,- ,-,- ,-,-,-,5,83.3,- ,-
345,BUSIA ,36137,1117,3.1,486,1.3,448,1.2,790,2.2,33051,91.5,245,0.7
346,BUNYALA ,4120,113,2.7,31,0.8,4,0.1,77,1.9,3870,93.9,25,0.6
347,BUSIA ,10472,362,3.5,258,2.5,143,1.4,267,2.5,9423,90,19,0.2
348,BUTULA ,3235,82,2.5,14,0.4,6,0.2,42,1.3,3049,94.3,42,1.3
349,NAMBALE ,2818,59,2.1,25,0.9,43,1.5,67,2.4,2603,92.4,21,0.7
350,SAMIA ,2261,120,5.3,14,0.6,25,1.1,29,1.3,2004,88.6,69,3.1
351,TESO NORTH,590,153,2.6,91,1.5,134,2.3,138,2.3,5348,90.5,44,0.7
352,TESO SOUTH,732,228,3.1,53,0.7,93,1.3,170,2.3,6754,92.2,25,0.3
